Date,Description,Category,Amount,Type,User
2025-10-23,Dinner at Domino's Pizza,Food,850.0,Expense,Mit
2025-10-22,groceries for home,Groceries,250.0,Expense,Mit
2025-10-23,salary,Other,45000.0,Income,Mit
2025-09-25,ride,Other,180.0,Expense,Mit
2024-01-01 00:00:00,Online course,Education,2438.0,Expense,Mitul
2024-01-01 00:00:00,Bus fare,Transport,3943.0,Expense,Mitul
2024-01-01 00:00:00,Bought items,Other,3665.0,Expense,Mitul
2024-01-01 00:00:00,Snacks,Other,2252.0,Income,Mitul
2024-01-01 00:00:00,Doctor visit,Healthcare,4836.0,Income,Mitul
2024-01-01 00:00:00,Doctor visit,Healthcare,2526.0,Expense,Mitul
2024-01-01 00:00:00,Online course,Education,3322.0,Expense,Mitul
2024-01-01 00:00:00,Snacks,Other,904.0,Expense,Mitul
2024-01-01 00:00:00,New clothes,Shopping,2229.0,Expense,Mitul
2024-01-01 00:00:00,Monthly bill,Bills,2875.0,Expense,Mitul
2024-01-01 00:00:00,New clothes,Shopping,3739.0,Income,Mitul
2024-01-01 00:00:00,Maintenance,Other,1730.0,Expense,Mitul
2024-01-01 00:00:00,New clothes,Shopping,4332.0,Expense,Mitul
2024-01-01 00:00:00,Insurance premium,Rent,1355.0,Expense,Mitul
2024-01-01 00:00:00,Snacks,Other,1010.0,Expense,Mitul
2024-01-01 00:00:00,New clothes,Shopping,2080.0,Expense,Mitul
2024-01-01 00:00:00,Online course,Education,4123.0,Expense,Mitul
2024-01-01 00:00:00,Insurance premium,Rent,1893.0,Expense,Mitul
2024-01-01 00:00:00,Maintenance,Other,235.0,Expense,Mitul
2024-01-01 00:00:00,Doctor visit,Healthcare,3040.0,Expense,Mitul
2024-01-01 00:00:00,Insurance premium,Rent,2849.0,Expense,Mitul
2024-01-01 00:00:00,Insurance premium,Rent,474.0,Expense,Mitul
2024-01-01 00:00:00,Insurance premium,Rent,3485.0,Expense,Mitul
2024-01-01 00:00:00,Movie,Entertainment,1408.0,Income,Mitul
2024-01-01 00:00:00,Monthly bill,Bills,4478.0,Expense,Mitul
2024-01-01 00:00:00,Movie,Entertainment,1958.0,Expense,Mitul
2024-01-01 00:00:00,Doctor visit,Healthcare,348.0,Expense,Mitul
2024-01-01 00:00:00,Maintenance,Other,1241.0,Expense,Mitul
2024-01-01 00:00:00,Maintenance,Other,2746.0,Income,Mitul
2024-01-01 00:00:00,Online course,Education,4364.0,Expense,Mitul
2024-01-01 00:00:00,Online course,Education,1442.0,Expense,Mitul
2024-01-01 00:00:00,Bus fare,Transport,1403.0,Expense,Mitul
2024-01-01 00:00:00,Snacks,Other,1104.0,Expense,Mitul
2024-01-01 00:00:00,Movie,Entertainment,3532.0,Expense,Mitul
2024-01-01 00:00:00,Bus fare,Transport,1700.0,Expense,Mitul
2024-01-01 00:00:00,Movie,Entertainment,1065.0,Income,Mitul
2024-01-01 00:00:00,New clothes,Shopping,3189.0,Expense,Mitul
2024-01-01 00:00:00,Movie,Entertainment,4390.0,Expense,Mitul
2024-01-01 00:00:00,New clothes,Shopping,4674.0,Expense,Mitul
2024-01-01 00:00:00,Doctor visit,Healthcare,2455.0,Income,Mitul
2024-01-01 00:00:00,Online course,Education,4527.0,Expense,Mitul
2024-01-01 00:00:00,New clothes,Shopping,1855.0,Expense,Mitul
2024-01-01 00:00:00,Bought items,Other,2668.0,Expense,Mitul
2024-01-01 00:00:00,Bus fare,Transport,2272.0,Expense,Mitul
2024-01-01 00:00:00,Bought items,Other,1721.0,Expense,Mitul
2024-01-01 00:00:00,Snacks,Other,2275.0,Expense,Mitul
2024-01-01 00:00:00,Snacks,Other,529.0,Expense,Mitul
2024-01-02 00:00:00,Online course,Education,4559.0,Expense,Mitul
2024-01-02 00:00:00,Snacks,Other,3240.0,Expense,Mitul
2024-01-02 00:00:00,Bus fare,Transport,3694.0,Expense,Mitul
2024-01-02 00:00:00,Movie,Entertainment,690.0,Expense,Mitul
2024-01-02 00:00:00,Bought items,Other,1267.0,Expense,Mitul
2024-01-02 00:00:00,Maintenance,Other,3949.0,Expense,Mitul
2024-01-02 00:00:00,Bought items,Other,1790.0,Income,Mitul
2024-01-02 00:00:00,Online course,Education,4152.0,Expense,Mitul
2024-01-02 00:00:00,Doctor visit,Healthcare,4443.0,Expense,Mitul
2024-01-02 00:00:00,Maintenance,Other,1773.0,Expense,Mitul
2024-01-02 00:00:00,Doctor visit,Healthcare,3819.0,Income,Mitul
2024-01-02 00:00:00,Doctor visit,Healthcare,3590.0,Expense,Mitul
2024-01-02 00:00:00,Bus fare,Transport,1149.0,Income,Mitul
2024-01-02 00:00:00,New clothes,Shopping,486.0,Income,Mitul
2024-01-02 00:00:00,Online course,Education,2706.0,Expense,Mitul
2024-01-02 00:00:00,Movie,Entertainment,3856.0,Expense,Mitul
2024-01-02 00:00:00,Insurance premium,Rent,4282.0,Expense,Mitul
2024-01-02 00:00:00,Doctor visit,Healthcare,2295.0,Expense,Mitul
2024-01-02 00:00:00,New clothes,Shopping,995.0,Income,Mitul
2024-01-02 00:00:00,Maintenance,Other,1983.0,Expense,Mitul
2024-01-02 00:00:00,Maintenance,Other,1408.0,Expense,Mitul
2024-01-02 00:00:00,New clothes,Shopping,4938.0,Expense,Mitul
2024-01-02 00:00:00,Bus fare,Transport,977.0,Expense,Mitul
2024-01-02 00:00:00,New clothes,Shopping,675.0,Expense,Mitul
2024-01-02 00:00:00,Snacks,Other,4670.0,Expense,Mitul
2024-01-02 00:00:00,New clothes,Shopping,1198.0,Expense,Mitul
2024-01-02 00:00:00,Online course,Education,3327.0,Expense,Mitul
2024-01-02 00:00:00,Snacks,Other,4847.0,Income,Mitul
2024-01-02 00:00:00,New clothes,Shopping,3640.0,Expense,Mitul
2024-01-02 00:00:00,Insurance premium,Rent,1173.0,Expense,Mitul
2024-01-02 00:00:00,Maintenance,Other,1047.0,Income,Mitul
2024-01-02 00:00:00,Online course,Education,3826.0,Expense,Mitul
2024-01-02 00:00:00,Doctor visit,Healthcare,575.0,Expense,Mitul
2024-01-02 00:00:00,Online course,Education,1385.0,Expense,Mitul
2024-01-02 00:00:00,Monthly bill,Bills,2593.0,Expense,Mitul
2024-01-02 00:00:00,New clothes,Shopping,4731.0,Expense,Mitul
2024-01-02 00:00:00,Online course,Education,1035.0,Expense,Mitul
2024-01-02 00:00:00,Bus fare,Transport,674.0,Expense,Mitul
2024-01-02 00:00:00,Bought items,Other,1956.0,Expense,Mitul
2024-01-02 00:00:00,Snacks,Other,325.0,Expense,Mitul
2024-01-02 00:00:00,Online course,Education,2586.0,Expense,Mitul
2024-01-02 00:00:00,Bus fare,Transport,1225.0,Expense,Mitul
2024-01-02 00:00:00,New clothes,Shopping,3450.0,Expense,Mitul
2024-01-02 00:00:00,New clothes,Shopping,1855.0,Expense,Mitul
2024-01-02 00:00:00,Bus fare,Transport,1661.0,Expense,Mitul
2024-01-02 00:00:00,Movie,Entertainment,4471.0,Expense,Mitul
2024-01-02 00:00:00,Bus fare,Transport,2011.0,Expense,Mitul
2024-01-02 00:00:00,New clothes,Shopping,1174.0,Expense,Mitul
2024-01-02 00:00:00,Online course,Education,950.0,Expense,Mitul
2024-01-02 00:00:00,Monthly bill,Bills,4255.0,Expense,Mitul
2024-01-02 00:00:00,Doctor visit,Healthcare,763.0,Income,Mitul
2024-01-02 00:00:00,Insurance premium,Rent,3087.0,Expense,Mitul
2024-01-02 00:00:00,Bus fare,Transport,2897.0,Expense,Mitul
2024-01-02 00:00:00,Insurance premium,Rent,3965.0,Income,Mitul
2024-01-02 00:00:00,Snacks,Other,2758.0,Expense,Mitul
2024-01-02 00:00:00,Insurance premium,Rent,1717.0,Expense,Mitul
2024-01-02 00:00:00,Maintenance,Other,1041.0,Expense,Mitul
2024-01-02 00:00:00,Bus fare,Transport,4037.0,Income,Mitul
2024-01-02 00:00:00,Monthly bill,Bills,1188.0,Expense,Mitul
2024-01-02 00:00:00,Snacks,Other,641.0,Expense,Mitul
2024-01-02 00:00:00,Maintenance,Other,1939.0,Expense,Mitul
2024-01-02 00:00:00,Monthly bill,Bills,861.0,Expense,Mitul
2024-01-02 00:00:00,Movie,Entertainment,3669.0,Expense,Mitul
2024-01-03 00:00:00,New clothes,Shopping,3011.0,Expense,Mitul
2024-01-03 00:00:00,New clothes,Shopping,2054.0,Income,Mitul
2024-01-03 00:00:00,Movie,Entertainment,4439.0,Income,Mitul
2024-01-03 00:00:00,Online course,Education,3686.0,Expense,Mitul
2024-01-03 00:00:00,Maintenance,Other,472.0,Expense,Mitul
2024-01-03 00:00:00,Snacks,Other,1851.0,Expense,Mitul
2024-01-03 00:00:00,Bought items,Other,1954.0,Expense,Mitul
2024-01-03 00:00:00,New clothes,Shopping,3827.0,Expense,Mitul
2024-01-03 00:00:00,New clothes,Shopping,200.0,Expense,Mitul
2024-01-03 00:00:00,Movie,Entertainment,4844.0,Expense,Mitul
2024-01-03 00:00:00,Bought items,Other,4810.0,Expense,Mitul
2024-01-03 00:00:00,Bought items,Other,1045.0,Expense,Mitul
2024-01-03 00:00:00,Snacks,Other,2292.0,Expense,Mitul
2024-01-03 00:00:00,New clothes,Shopping,2864.0,Expense,Mitul
2024-01-03 00:00:00,Monthly bill,Bills,2365.0,Expense,Mitul
2024-01-03 00:00:00,Bus fare,Transport,667.0,Expense,Mitul
2024-01-03 00:00:00,Insurance premium,Rent,2957.0,Income,Mitul
2024-01-03 00:00:00,Snacks,Other,2431.0,Expense,Mitul
2024-01-03 00:00:00,Maintenance,Other,4786.0,Expense,Mitul
2024-01-03 00:00:00,Maintenance,Other,4220.0,Expense,Mitul
2024-01-03 00:00:00,Snacks,Other,3968.0,Expense,Mitul
2024-01-03 00:00:00,Bought items,Other,441.0,Expense,Mitul
2024-01-03 00:00:00,Insurance premium,Rent,4173.0,Income,Mitul
2024-01-03 00:00:00,Online course,Education,1332.0,Expense,Mitul
2024-01-03 00:00:00,Insurance premium,Rent,3841.0,Expense,Mitul
2024-01-03 00:00:00,Doctor visit,Healthcare,3578.0,Income,Mitul
2024-01-03 00:00:00,Bus fare,Transport,4277.0,Expense,Mitul
2024-01-03 00:00:00,Doctor visit,Healthcare,2083.0,Income,Mitul
2024-01-03 00:00:00,Maintenance,Other,4593.0,Expense,Mitul
2024-01-03 00:00:00,Bought items,Other,1373.0,Expense,Mitul
2024-01-03 00:00:00,Bus fare,Transport,4418.0,Expense,Mitul
2024-01-03 00:00:00,Maintenance,Other,4075.0,Expense,Mitul
2024-01-03 00:00:00,Movie,Entertainment,1812.0,Expense,Mitul
2024-01-03 00:00:00,Snacks,Other,4388.0,Expense,Mitul
2024-01-03 00:00:00,Monthly bill,Bills,3107.0,Expense,Mitul
2024-01-03 00:00:00,Bus fare,Transport,3849.0,Expense,Mitul
2024-01-03 00:00:00,Online course,Education,4845.0,Expense,Mitul
2024-01-03 00:00:00,Bought items,Other,2838.0,Expense,Mitul
2024-01-03 00:00:00,Insurance premium,Rent,3053.0,Expense,Mitul
2024-01-03 00:00:00,Online course,Education,3314.0,Income,Mitul
2024-01-03 00:00:00,Snacks,Other,1513.0,Expense,Mitul
2024-01-03 00:00:00,Online course,Education,3432.0,Expense,Mitul
2024-01-03 00:00:00,Doctor visit,Healthcare,3499.0,Expense,Mitul
2024-01-03 00:00:00,Online course,Education,4893.0,Expense,Mitul
2024-01-03 00:00:00,Snacks,Other,3652.0,Expense,Mitul
2024-01-03 00:00:00,Snacks,Other,4300.0,Expense,Mitul
2024-01-03 00:00:00,Movie,Entertainment,1637.0,Expense,Mitul
2024-01-03 00:00:00,Maintenance,Other,1399.0,Expense,Mitul
2024-01-03 00:00:00,Movie,Entertainment,1230.0,Expense,Mitul
2024-01-03 00:00:00,Monthly bill,Bills,3407.0,Expense,Mitul
2024-01-03 00:00:00,Online course,Education,3406.0,Expense,Mitul
2024-01-03 00:00:00,Movie,Entertainment,957.0,Expense,Mitul
2024-01-03 00:00:00,Bought items,Other,1651.0,Expense,Mitul
