Date,Category,Description,Amount,Type
2024-01-01,Healthcare,Online course,2438,Expense
2024-01-01,Entertainment,Bus fare,3943,Expense
2024-01-01,Entertainment,Bought items,3665,Expense
2024-01-01,Entertainment,Snacks,2252,Income
2024-01-01,Rent,Doctor visit,4836,Income
2024-01-01,Groceries,Doctor visit,2526,Expense
2024-01-01,Shopping,Online course,3322,Expense
2024-01-01,Healthcare,Snacks,904,Expense
2024-01-01,Transport,New clothes,2229,Expense
2024-01-01,Groceries,Monthly bill,2875,Expense
2024-01-01,Shopping,New clothes,3739,Income
2024-01-01,Healthcare,Maintenance,1730,Expense
2024-01-01,Education,New clothes,4332,Expense
2024-01-01,Miscellaneous,Insurance premium,1355,Expense
2024-01-01,Shopping,Snacks,1010,Expense
2024-01-01,Rent,New clothes,2080,Expense
2024-01-01,Transport,Online course,4123,Expense
2024-01-01,Groceries,Insurance premium,1893,Expense
2024-01-01,Miscellaneous,Maintenance,235,Expense
2024-01-01,Insurance,Doctor visit,3040,Expense
2024-01-01,Insurance,Insurance premium,2849,Expense
2024-01-01,Insurance,Insurance premium,474,Expense
2024-01-01,Shopping,Insurance premium,3485,Expense
2024-01-01,Utilities,Movie,1408,Income
2024-01-01,Shopping,Monthly bill,4478,Expense
2024-01-01,Healthcare,Movie,1958,Expense
2024-01-01,Transport,Doctor visit,348,Expense
2024-01-01,Shopping,Maintenance,1241,Expense
2024-01-01,Transport,Maintenance,2746,Income
2024-01-01,Rent,Online course,4364,Expense
2024-01-01,Transport,Online course,1442,Expense
2024-01-01,Transport,Bus fare,1403,Expense
2024-01-01,Transport,Snacks,1104,Expense
2024-01-01,Rent,Movie,3532,Expense
2024-01-01,Insurance,Bus fare,1700,Expense
2024-01-01,Rent,Movie,1065,Income
2024-01-01,Insurance,New clothes,3189,Expense
2024-01-01,Transport,Movie,4390,Expense
2024-01-01,Groceries,New clothes,4674,Expense
2024-01-01,Entertainment,Doctor visit,2455,Income
2024-01-01,Healthcare,Online course,4527,Expense
2024-01-01,Groceries,New clothes,1855,Expense
2024-01-01,Education,Bought items,2668,Expense
2024-01-01,Transport,Bus fare,2272,Expense
2024-01-01,Healthcare,Bought items,1721,Expense
2024-01-01,Rent,Snacks,2275,Expense
2024-01-01,Transport,Snacks,529,Expense
2024-01-02,Groceries,Online course,4559,Expense
2024-01-02,Insurance,Snacks,3240,Expense
2024-01-02,Rent,Bus fare,3694,Expense
2024-01-02,Transport,Movie,690,Expense
2024-01-02,Utilities,Bought items,1267,Expense
2024-01-02,Insurance,Maintenance,3949,Expense
2024-01-02,Entertainment,Bought items,1790,Income
2024-01-02,Entertainment,Online course,4152,Expense
2024-01-02,Shopping,Doctor visit,4443,Expense
2024-01-02,Rent,Maintenance,1773,Expense
2024-01-02,Groceries,Doctor visit,3819,Income
2024-01-02,Transport,Doctor visit,3590,Expense
2024-01-02,Entertainment,Bus fare,1149,Income
2024-01-02,Shopping,New clothes,486,Income
2024-01-02,Utilities,Online course,2706,Expense
2024-01-02,Shopping,Movie,3856,Expense
2024-01-02,Groceries,Insurance premium,4282,Expense
2024-01-02,Entertainment,Doctor visit,2295,Expense
2024-01-02,Shopping,New clothes,995,Income
2024-01-02,Insurance,Maintenance,1983,Expense
2024-01-02,Shopping,Maintenance,1408,Expense
2024-01-02,Healthcare,New clothes,4938,Expense
2024-01-02,Groceries,Bus fare,977,Expense
2024-01-02,Education,New clothes,675,Expense
2024-01-02,Utilities,Snacks,4670,Expense
2024-01-02,Insurance,New clothes,1198,Expense
2024-01-02,Groceries,Online course,3327,Expense
2024-01-02,Transport,Snacks,4847,Income
2024-01-02,Transport,New clothes,3640,Expense
2024-01-02,Healthcare,Insurance premium,1173,Expense
2024-01-02,Education,Maintenance,1047,Income
2024-01-02,Education,Online course,3826,Expense
2024-01-02,Entertainment,Doctor visit,575,Expense
2024-01-02,Shopping,Online course,1385,Expense
2024-01-02,Healthcare,Monthly bill,2593,Expense
2024-01-02,Healthcare,New clothes,4731,Expense
2024-01-02,Entertainment,Online course,1035,Expense
2024-01-02,Transport,Bus fare,674,Expense
2024-01-02,Rent,Bought items,1956,Expense
2024-01-02,Education,Snacks,325,Expense
2024-01-02,Insurance,Online course,2586,Expense
2024-01-02,Rent,Bus fare,1225,Expense
